genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0027 (0);0.0027 (0);0.0027 (0);0.0027 (0)
131_A;25;0.0064 (0.0013);0.007 (0.0013);0.0081 (0.0018);0.011 (0.0023)
131_A;50;0.0102 (0.0018);0.0119 (0.002);0.0179 (0.005);0.0289 (0.008)
131_A;75;0.013 (0.0027);0.0162 (0.0036);0.0262 (0.0098);0.0443 (0.0126)
131_A;100;0.0149 (0.0031);0.0207 (0.004);0.0334 (0.0119);0.0493 (0.017)
131_A;125;0.0162 (0.0033);0.0247 (0.0048);0.0358 (0.0125);0.0507 (0.0157)
131_A;150;0.0179 (0.005);0.0274 (0.0077);0.0385 (0.0142);0.0498 (0.0155)
131_A;175;0.0188 (0.0044);0.0295 (0.0098);0.0408 (0.0154);0.051 (0.0163)
131_A;200;0.0196 (0.0045);0.0308 (0.01);0.0416 (0.0155);0.0532 (0.0176)
131_B;1;0.0031 (0);0.0031 (0);0.0031 (0);0.0031 (0)
131_B;25;0.0078 (0.0014);0.0077 (0.0015);0.0076 (0.0018);0.0074 (0.0016)
131_B;50;0.0116 (0.0022);0.0114 (0.0016);0.0104 (0.0025);0.0086 (0.0017)
131_B;75;0.0149 (0.0031);0.0132 (0.0032);0.0104 (0.002);0.0081 (0.0023)
131_B;100;0.0164 (0.0039);0.0141 (0.0035);0.0098 (0.0023);0.0072 (0.0029)
131_B;125;0.0172 (0.0037);0.0145 (0.0041);0.0096 (0.0024);0.007 (0.0032)
131_B;150;0.0194 (0.0039);0.015 (0.0036);0.0092 (0.002);0.0068 (0.0024)
131_B;175;0.0204 (0.0047);0.0153 (0.0038);0.0087 (0.0016);0.0073 (0.0037)
131_B;200;0.021 (0.0044);0.0153 (0.0041);0.0086 (0.0021);0.0068 (0.0037)
131_C1;1;0.0041 (0);0.0041 (0);0.0041 (0);0.0041 (0)
131_C1;25;0.0103 (0.0018);0.0102 (0.0018);0.0111 (0.0017);0.0125 (0.0028)
131_C1;50;0.0147 (0.0031);0.0164 (0.0021);0.0204 (0.006);0.0312 (0.0102)
131_C1;75;0.0192 (0.0043);0.0219 (0.0035);0.0298 (0.0092);0.0429 (0.0158)
131_C1;100;0.0224 (0.0044);0.0272 (0.0051);0.0379 (0.0119);0.046 (0.0166)
131_C1;125;0.0251 (0.0048);0.0306 (0.0059);0.0416 (0.0147);0.0478 (0.0173)
131_C1;150;0.0272 (0.0049);0.0335 (0.0074);0.0433 (0.0167);0.0481 (0.0176)
131_C1;175;0.0272 (0.0044);0.0348 (0.0072);0.0459 (0.0167);0.0482 (0.0178)
131_C1;200;0.0297 (0.0052);0.0355 (0.0082);0.0466 (0.0164);0.0486 (0.0186)
131_C2;1;0.0106 (0);0.0106 (0);0.0106 (0);0.0106 (0)
131_C2;25;0.0287 (0.0033);0.0324 (0.0035);0.0407 (0.0042);0.0543 (0.0053)
131_C2;50;0.0441 (0.0056);0.0633 (0.0061);0.1113 (0.0126);0.1894 (0.0138)
131_C2;75;0.0582 (0.0056);0.1002 (0.0121);0.1998 (0.0229);0.2879 (0.0202)
131_C2;100;0.0682 (0.006);0.1365 (0.016);0.2592 (0.0285);0.3142 (0.0256)
131_C2;125;0.0769 (0.0061);0.1632 (0.0184);0.2901 (0.0327);0.3218 (0.0296)
131_C2;150;0.083 (0.0067);0.1862 (0.0209);0.3019 (0.0367);0.3288 (0.0284)
131_C2;175;0.0881 (0.0088);0.1974 (0.0244);0.3057 (0.0392);0.3269 (0.0341)
131_C2;200;0.0918 (0.0095);0.2051 (0.0238);0.3076 (0.0401);0.3261 (0.0303)
