genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0274 (0.0158);0.0268 (0.0113);0.0276 (0.0174);0.025 (0.0152)
131_A;25;0.2067 (0.0756);0.2828 (0.091);0.3241 (0.105);0.4537 (0.128)
131_A;50;0.2629 (0.0622);0.4324 (0.0883);0.5737 (0.1285);0.8036 (0.0714)
131_A;75;0.2898 (0.0846);0.5145 (0.0916);0.7393 (0.1096);0.9031 (0.0393)
131_A;100;0.3064 (0.0882);0.5937 (0.1099);0.8202 (0.0755);0.9263 (0.0302)
131_A;125;0.3211 (0.0989);0.6369 (0.1091);0.8446 (0.08);0.9414 (0.0221)
131_A;150;0.3129 (0.1069);0.6784 (0.0951);0.8614 (0.0738);0.9444 (0.0237)
131_A;175;0.3253 (0.0826);0.6975 (0.0944);0.8727 (0.0786);0.9478 (0.0224)
131_A;200;0.3367 (0.091);0.7091 (0.0762);0.8832 (0.0604);0.9461 (0.0248)
131_B;1;5e-04 (0.0018);0.0011 (0.003);0.0013 (0.0027);0.001 (0.0024)
131_B;25;0.0064 (0.0148);0.007 (0.0099);0.0254 (0.0444);0.0096 (0.0171)
131_B;50;0.0078 (0.0117);0.0161 (0.0339);0.0495 (0.0694);0.0745 (0.0997)
131_B;75;0.0065 (0.0104);0.0154 (0.0319);0.1174 (0.1361);0.1079 (0.1336)
131_B;100;0.0065 (0.0119);0.0148 (0.0222);0.1416 (0.1693);0.1293 (0.1398)
131_B;125;0.0108 (0.0174);0.0221 (0.0276);0.1662 (0.1846);0.1555 (0.1698)
131_B;150;0.0128 (0.0237);0.0281 (0.0331);0.183 (0.1939);0.1631 (0.15)
131_B;175;0.0093 (0.0219);0.025 (0.0405);0.1865 (0.2111);0.1354 (0.1674)
131_B;200;0.0066 (0.0157);0.0315 (0.0515);0.1835 (0.1868);0.1168 (0.1733)
131_C1;1;0.0169 (0.0098);0.0163 (0.0075);0.0145 (0.0057);0.0189 (0.0108)
131_C1;25;0.1372 (0.0489);0.1651 (0.0631);0.2252 (0.0849);0.3978 (0.1099)
131_C1;50;0.1755 (0.0788);0.2545 (0.0712);0.4629 (0.1084);0.7468 (0.0762)
131_C1;75;0.1975 (0.0979);0.3673 (0.105);0.6495 (0.0878);0.869 (0.039)
131_C1;100;0.2156 (0.0816);0.4467 (0.1057);0.7364 (0.0776);0.9045 (0.0362)
131_C1;125;0.2225 (0.0733);0.5006 (0.0881);0.7844 (0.0554);0.903 (0.0341)
131_C1;150;0.2395 (0.0756);0.5526 (0.0922);0.7916 (0.0726);0.9139 (0.0345)
131_C1;175;0.2576 (0.0895);0.563 (0.0932);0.7894 (0.0793);0.9108 (0.0284)
131_C1;200;0.2624 (0.0931);0.5828 (0.1124);0.8012 (0.072);0.9131 (0.0332)
131_C2;1;0.067 (0.01);0.0637 (0.0112);0.0661 (0.0108);0.0648 (0.0129)
131_C2;25;0.3149 (0.0897);0.3728 (0.0809);0.4718 (0.0812);0.6479 (0.0524)
131_C2;50;0.4476 (0.0836);0.613 (0.0935);0.8022 (0.0603);0.9306 (0.0259)
131_C2;75;0.5499 (0.0908);0.7412 (0.0832);0.9231 (0.0338);0.9784 (0.0101)
131_C2;100;0.6054 (0.0857);0.8259 (0.0616);0.963 (0.0167);0.9888 (0.0047)
131_C2;125;0.6621 (0.0898);0.8749 (0.0463);0.9737 (0.0133);0.9891 (0.004)
131_C2;150;0.6903 (0.0688);0.9012 (0.0291);0.9783 (0.0094);0.9891 (0.0054)
131_C2;175;0.7085 (0.0756);0.9167 (0.0298);0.979 (0.0073);0.9888 (0.0046)
131_C2;200;0.7287 (0.0819);0.9236 (0.0277);0.9798 (0.0092);0.9886 (0.0051)
