genotype,generation,DDD_0.006,DDD_0.03,DDD_0.06,DDD_0.09
131,1,0.0335 (0.0257),0.033 (0.0261),0.0323 (0.0251),0.0326 (0.0281)
131,25,0.24 (0.1763),0.2897 (0.2035),0.3716 (0.2305),0.4567 (0.2826)
131,50,0.2962 (0.2049),0.3875 (0.2582),0.5693 (0.3221),0.6821 (0.3589)
131,75,0.3287 (0.2324),0.4708 (0.2955),0.6855 (0.3507),0.7756 (0.3525)
131,100,0.3353 (0.2361),0.55 (0.3236),0.745 (0.3607),0.7915 (0.3518)
131,125,0.3507 (0.2415),0.606 (0.3433),0.7691 (0.3633),0.8002 (0.3468)
131,150,0.3592 (0.241),0.652 (0.3515),0.7793 (0.3605),0.7982 (0.348)
131,175,0.3726 (0.2484),0.678 (0.354),0.7879 (0.3517),0.7955 (0.3499)
131,200,0.3895 (0.2596),0.6992 (0.3559),0.7886 (0.3535),0.7946 (0.3512)
69,1,0.0016 (0.0017),7e-04 (0.0016),0.0015 (0.0016),0.0012 (0.0015)
69,25,0.0077 (0.0068),0.0092 (0.0076),0.0143 (0.0127),0.0339 (0.0371)
69,50,0.0097 (0.0106),0.0143 (0.011),0.0437 (0.0525),0.1452 (0.1359)
69,75,0.0078 (0.0076),0.0284 (0.0248),0.0997 (0.0951),0.3142 (0.2327)
69,100,0.0077 (0.0079),0.0488 (0.04),0.2011 (0.1538),0.4157 (0.2452)
69,125,0.0098 (0.011),0.0679 (0.0539),0.2863 (0.1837),0.4419 (0.2179)
69,150,0.0118 (0.0116),0.0897 (0.0652),0.3302 (0.2028),0.4637 (0.2239)
69,175,0.0147 (0.0142),0.107 (0.076),0.3301 (0.2021),0.4644 (0.2292)
69,200,0.0135 (0.0136),0.1195 (0.0863),0.3335 (0.2088),0.4493 (0.2453)
73,1,9e-04 (4e-04),9e-04 (5e-04),0.0011 (8e-04),0.001 (4e-04)
73,25,0.004 (0.0039),0.0042 (0.0033),0.0072 (0.0061),0.0159 (0.0108)
73,50,0.005 (0.0056),0.0114 (0.0074),0.028 (0.0232),0.1164 (0.0772)
73,75,0.0064 (0.0063),0.0233 (0.0184),0.0889 (0.0732),0.3831 (0.184)
73,100,0.0068 (0.0057),0.0404 (0.0328),0.1957 (0.1333),0.5548 (0.2051)
73,125,0.007 (0.0066),0.0667 (0.0496),0.3024 (0.1655),0.5898 (0.1979)
73,150,0.0085 (0.0069),0.0935 (0.0697),0.3573 (0.1735),0.5826 (0.2074)
73,175,0.0096 (0.0084),0.1252 (0.0875),0.3766 (0.1725),0.5675 (0.2193)
73,200,0.0118 (0.0089),0.1597 (0.0999),0.39 (0.1717),0.5655 (0.2128)
95,1,8e-04 (5e-04),0.0012 (7e-04),9e-04 (6e-04),0.001 (5e-04)
95,25,0.003 (0.0024),0.0033 (0.0036),0.0059 (0.0072),0.0116 (0.0106)
95,50,0.0054 (0.0057),0.0047 (0.0065),0.0292 (0.0306),0.082 (0.0789)
95,75,0.0073 (0.0079),0.01 (0.0118),0.0862 (0.0831),0.2772 (0.1855)
95,100,0.0076 (0.0077),0.0175 (0.0175),0.1782 (0.1562),0.4044 (0.2308)
95,125,0.0092 (0.0065),0.0337 (0.034),0.2663 (0.2202),0.4342 (0.2436)
95,150,0.0115 (0.0094),0.0537 (0.0518),0.3359 (0.2342),0.4487 (0.2448)
95,175,0.0155 (0.0136),0.0703 (0.0692),0.3415 (0.247),0.4316 (0.2435)
95,200,0.0187 (0.0129),0.0908 (0.085),0.3603 (0.258),0.4475 (0.2492)
