genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0308 (0.0138);0.0244 (0.011);0.0304 (0.012);0.0244 (0.0116)
131_A;25;0.2136 (0.0666);0.2354 (0.0775);0.3705 (0.1047);0.4494 (0.1249)
131_A;50;0.271 (0.0899);0.3549 (0.1267);0.6171 (0.1313);0.8052 (0.0756)
131_A;75;0.3034 (0.0824);0.4608 (0.1295);0.8001 (0.0875);0.9402 (0.0258)
131_A;100;0.2961 (0.0887);0.5853 (0.1292);0.8928 (0.0542);0.9607 (0.0179)
131_A;125;0.3194 (0.0941);0.6818 (0.1105);0.934 (0.0435);0.9619 (0.019)
131_A;150;0.3324 (0.0973);0.7707 (0.0887);0.9479 (0.0327);0.9612 (0.023)
131_A;175;0.3602 (0.1051);0.8035 (0.0741);0.9525 (0.0228);0.9637 (0.0199)
131_A;200;0.3636 (0.0966);0.8425 (0.0628);0.9527 (0.0245);0.9646 (0.0233)
131_B;1;9e-04 (0.0023);0.001 (0.0029);9e-04 (0.0023);0.001 (0.0023)
131_B;25;0.0075 (0.0144);0.0129 (0.0185);0.0344 (0.0655);0.0261 (0.0489)
131_B;50;0.0088 (0.0138);0.0209 (0.0351);0.0573 (0.0974);0.0802 (0.1034)
131_B;75;0.0069 (0.0135);0.0243 (0.0453);0.1206 (0.2075);0.2094 (0.2562)
131_B;100;0.0085 (0.0154);0.0356 (0.0698);0.1733 (0.2745);0.2338 (0.2791)
131_B;125;0.0075 (0.0144);0.0447 (0.0977);0.1955 (0.2891);0.264 (0.3096)
131_B;150;0.0088 (0.0155);0.0674 (0.1148);0.216 (0.305);0.257 (0.303)
131_B;175;0.0061 (0.0102);0.0881 (0.1309);0.2404 (0.304);0.2444 (0.2868)
131_B;200;0.0091 (0.018);0.1053 (0.1478);0.2409 (0.3118);0.2401 (0.2844)
131_C1;1;0.0378 (0.0132);0.045 (0.0165);0.0446 (0.0182);0.0388 (0.0157)
131_C1;25;0.2933 (0.056);0.3898 (0.0889);0.4669 (0.0905);0.6284 (0.0558)
131_C1;50;0.3812 (0.079);0.4996 (0.0988);0.7491 (0.074);0.9013 (0.0331)
131_C1;75;0.4004 (0.0954);0.6381 (0.1026);0.8817 (0.0401);0.969 (0.0115)
131_C1;100;0.4257 (0.1005);0.7454 (0.082);0.9401 (0.0226);0.982 (0.0064)
131_C1;125;0.4513 (0.0935);0.8156 (0.0598);0.9623 (0.0131);0.9846 (0.0064)
131_C1;150;0.4797 (0.0991);0.8574 (0.0497);0.9655 (0.0139);0.9827 (0.0058)
131_C1;175;0.4899 (0.1028);0.887 (0.0382);0.9702 (0.0128);0.9835 (0.0066)
131_C1;200;0.5106 (0.0997);0.9059 (0.0366);0.9714 (0.0139);0.9835 (0.0068)
131_C2;1;0.0623 (0.0197);0.0603 (0.0185);0.0535 (0.0216);0.0664 (0.0229)
131_C2;25;0.4456 (0.1282);0.5206 (0.0879);0.6145 (0.0785);0.7229 (0.1038)
131_C2;50;0.5238 (0.1031);0.6745 (0.0899);0.8538 (0.0426);0.9416 (0.0301)
131_C2;75;0.6039 (0.1186);0.7602 (0.0828);0.9397 (0.0282);0.9837 (0.0071)
131_C2;100;0.6111 (0.1058);0.8335 (0.0593);0.9737 (0.0125);0.9895 (0.0047)
131_C2;125;0.6247 (0.1025);0.882 (0.0411);0.9845 (0.0073);0.9905 (0.0044)
131_C2;150;0.6158 (0.0889);0.9126 (0.0338);0.9878 (0.0041);0.992 (0.0027)
131_C2;175;0.6344 (0.0842);0.9334 (0.0302);0.9883 (0.0039);0.9906 (0.005)
131_C2;200;0.6748 (0.0846);0.9431 (0.0217);0.9893 (0.0033);0.99 (0.0048)
