"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,05;"5e-04";"0.0278 (0.0268)";"0.0261 (0.0257)";"0.0273 (0.0257)";"0.0272 (0.0252)"
"2";"131";25;0,01;0,05;"5e-04";"0.213 (0.1889)";"0.2435 (0.2164)";"0.3126 (0.2476)";"0.4258 (0.275)"
"3";"131";50;0,01;0,05;"5e-04";"0.2557 (0.2279)";"0.3443 (0.269)";"0.4929 (0.3164)";"0.6507 (0.3359)"
"4";"131";75;0,01;0,05;"5e-04";"0.2896 (0.2455)";"0.4194 (0.2952)";"0.5909 (0.3416)";"0.7359 (0.332)"
"5";"131";100;0,01;0,05;"5e-04";"0.3111 (0.2548)";"0.4674 (0.3093)";"0.6436 (0.3477)";"0.7514 (0.3241)"
"6";"131";125;0,01;0,05;"5e-04";"0.3194 (0.257)";"0.4965 (0.3164)";"0.6714 (0.348)";"0.7644 (0.3203)"
"7";"131";150;0,01;0,05;"5e-04";"0.3291 (0.2638)";"0.5142 (0.3227)";"0.6778 (0.3414)";"0.7754 (0.3018)"
"8";"131";175;0,01;0,05;"5e-04";"0.3302 (0.2659)";"0.5199 (0.3293)";"0.684 (0.3375)";"0.7839 (0.2974)"
"9";"131";200;0,01;0,05;"5e-04";"0.3416 (0.2737)";"0.5352 (0.3311)";"0.6908 (0.3349)";"0.7894 (0.285)"
"10";"69";1;0,01;0,05;"5e-04";"0.0011 (0.0017)";"0.0012 (0.0015)";"0.0012 (0.0014)";"0.0015 (0.0019)"
"11";"69";25;0,01;0,05;"5e-04";"0.0107 (0.0102)";"0.0083 (0.0091)";"0.0141 (0.0131)";"0.0234 (0.0239)"
"12";"69";50;0,01;0,05;"5e-04";"0.0139 (0.0158)";"0.0135 (0.0133)";"0.038 (0.0389)";"0.0814 (0.0528)"
"13";"69";75;0,01;0,05;"5e-04";"0.0141 (0.0163)";"0.0224 (0.0227)";"0.0779 (0.0649)";"0.1561 (0.0924)"
"14";"69";100;0,01;0,05;"5e-04";"0.0145 (0.0141)";"0.0308 (0.0292)";"0.1114 (0.0913)";"0.1881 (0.0994)"
"15";"69";125;0,01;0,05;"5e-04";"0.0161 (0.0134)";"0.0357 (0.0347)";"0.1367 (0.1049)";"0.2099 (0.1143)"
"16";"69";150;0,01;0,05;"5e-04";"0.0205 (0.0166)";"0.0348 (0.03)";"0.1625 (0.1215)";"0.2288 (0.1246)"
"17";"69";175;0,01;0,05;"5e-04";"0.0227 (0.0201)";"0.0421 (0.0331)";"0.1647 (0.1226)";"0.2342 (0.1396)"
"18";"69";200;0,01;0,05;"5e-04";"0.0204 (0.0182)";"0.0487 (0.0417)";"0.1762 (0.1318)";"0.2332 (0.1441)"
"19";"73";1;0,01;0,05;"5e-04";"0.001 (3e-04)";"0.001 (5e-04)";"9e-04 (4e-04)";"0.001 (4e-04)"
"20";"73";25;0,01;0,05;"5e-04";"0.0022 (0.0012)";"0.0048 (0.0032)";"0.0073 (0.0053)";"0.0148 (0.0086)"
"21";"73";50;0,01;0,05;"5e-04";"0.0041 (0.0023)";"0.0118 (0.0088)";"0.03 (0.0225)";"0.0834 (0.047)"
"22";"73";75;0,01;0,05;"5e-04";"0.0062 (0.0041)";"0.0215 (0.0165)";"0.074 (0.0537)";"0.2139 (0.1023)"
"23";"73";100;0,01;0,05;"5e-04";"0.0091 (0.0055)";"0.034 (0.0243)";"0.1284 (0.0797)";"0.2954 (0.1342)"
"24";"73";125;0,01;0,05;"5e-04";"0.0116 (0.0079)";"0.0453 (0.0297)";"0.1543 (0.093)";"0.3304 (0.1366)"
"25";"73";150;0,01;0,05;"5e-04";"0.0137 (0.0095)";"0.0537 (0.0366)";"0.1797 (0.112)";"0.3262 (0.1378)"
"26";"73";175;0,01;0,05;"5e-04";"0.0134 (0.008)";"0.0634 (0.0446)";"0.189 (0.1103)";"0.3547 (0.1344)"
"27";"73";200;0,01;0,05;"5e-04";"0.0151 (0.0086)";"0.0684 (0.0454)";"0.192 (0.1065)";"0.3592 (0.1441)"
"28";"95";1;0,01;0,05;"5e-04";"0.001 (6e-04)";"0.0012 (7e-04)";"0.0011 (8e-04)";"8e-04 (5e-04)"
"29";"95";25;0,01;0,05;"5e-04";"0.003 (0.0028)";"0.0045 (0.004)";"0.0061 (0.0042)";"0.0149 (0.0172)"
"30";"95";50;0,01;0,05;"5e-04";"0.0041 (0.0049)";"0.0128 (0.0095)";"0.0262 (0.0171)";"0.0833 (0.0849)"
"31";"95";75;0,01;0,05;"5e-04";"0.0065 (0.0072)";"0.0219 (0.013)";"0.0683 (0.0391)";"0.206 (0.1654)"
"32";"95";100;0,01;0,05;"5e-04";"0.0063 (0.0083)";"0.0374 (0.0189)";"0.1298 (0.0665)";"0.2954 (0.1971)"
"33";"95";125;0,01;0,05;"5e-04";"0.0075 (0.0087)";"0.0524 (0.0241)";"0.1808 (0.0829)";"0.3289 (0.2129)"
"34";"95";150;0,01;0,05;"5e-04";"0.0073 (0.0077)";"0.0617 (0.0279)";"0.2098 (0.1039)";"0.3236 (0.2199)"
"35";"95";175;0,01;0,05;"5e-04";"0.0094 (0.0088)";"0.072 (0.0437)";"0.2329 (0.1142)";"0.3268 (0.2292)"
"36";"95";200;0,01;0,05;"5e-04";"0.0101 (0.0107)";"0.0773 (0.0456)";"0.2456 (0.1225)";"0.3235 (0.2363)"
