"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,05;"5e-04";"0.0239 (0.0149)";"0.0218 (0.0158)";"0.0236 (0.0144)";"0.024 (0.0136)"
"2";"131_A";25;0,01;0,05;"5e-04";"0.2039 (0.0887)";"0.2222 (0.083)";"0.331 (0.0963)";"0.4953 (0.0936)"
"3";"131_A";50;0,01;0,05;"5e-04";"0.2403 (0.0753)";"0.3429 (0.091)";"0.59 (0.1198)";"0.8248 (0.0596)"
"4";"131_A";75;0,01;0,05;"5e-04";"0.2857 (0.1062)";"0.4406 (0.1109)";"0.7332 (0.098)";"0.9208 (0.0243)"
"5";"131_A";100;0,01;0,05;"5e-04";"0.3111 (0.0966)";"0.5224 (0.1235)";"0.8089 (0.0785)";"0.926 (0.0355)"
"6";"131_A";125;0,01;0,05;"5e-04";"0.3218 (0.0821)";"0.5627 (0.1307)";"0.8397 (0.0669)";"0.9446 (0.0227)"
"7";"131_A";150;0,01;0,05;"5e-04";"0.3341 (0.1089)";"0.6006 (0.1363)";"0.8427 (0.0697)";"0.9296 (0.0384)"
"8";"131_A";175;0,01;0,05;"5e-04";"0.337 (0.1013)";"0.6162 (0.137)";"0.8452 (0.0715)";"0.9367 (0.0288)"
"9";"131_A";200;0,01;0,05;"5e-04";"0.3656 (0.1036)";"0.6512 (0.1174)";"0.8547 (0.0834)";"0.9351 (0.0313)"
"10";"131_B";1;0,01;0,05;"5e-04";"2e-04 (0.001)";"9e-04 (0.0029)";"0.0011 (0.0025)";"7e-04 (0.0021)"
"11";"131_B";25;0,01;0,05;"5e-04";"0.0037 (0.0069)";"0.0091 (0.0169)";"0.0134 (0.0185)";"0.0403 (0.0449)"
"12";"131_B";50;0,01;0,05;"5e-04";"0.0069 (0.0128)";"0.0188 (0.0316)";"0.0299 (0.0485)";"0.1045 (0.1204)"
"13";"131_B";75;0,01;0,05;"5e-04";"0.008 (0.0191)";"0.0374 (0.0782)";"0.0541 (0.0826)";"0.1973 (0.193)"
"14";"131_B";100;0,01;0,05;"5e-04";"0.0107 (0.0181)";"0.0377 (0.0709)";"0.0834 (0.1282)";"0.2322 (0.2101)"
"15";"131_B";125;0,01;0,05;"5e-04";"0.0121 (0.0262)";"0.0454 (0.0813)";"0.1074 (0.155)";"0.256 (0.225)"
"16";"131_B";150;0,01;0,05;"5e-04";"0.0164 (0.0281)";"0.0499 (0.0884)";"0.1226 (0.1499)";"0.3059 (0.2411)"
"17";"131_B";175;0,01;0,05;"5e-04";"0.0184 (0.0302)";"0.0452 (0.0845)";"0.1455 (0.1898)";"0.3364 (0.2755)"
