genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0233 (0.0141);0.0274 (0.0158);0.0223 (0.012);0.0242 (0.0116)
131_A;25;0.225 (0.0813);0.2868 (0.1104);0.2995 (0.1075);0.4778 (0.1254)
131_A;50;0.3025 (0.1122);0.422 (0.117);0.5483 (0.121);0.7684 (0.0902)
131_A;75;0.3346 (0.1119);0.5082 (0.1315);0.6726 (0.093);0.8388 (0.0778)
131_A;100;0.3339 (0.1132);0.5572 (0.1279);0.7197 (0.0864);0.8575 (0.0552)
131_A;125;0.3323 (0.1163);0.5836 (0.1189);0.7569 (0.0746);0.8713 (0.0542)
131_A;150;0.3195 (0.0879);0.5952 (0.1185);0.762 (0.0785);0.8693 (0.0586)
131_A;175;0.3326 (0.1192);0.6002 (0.1249);0.7587 (0.0997);0.8581 (0.0782)
131_A;200;0.3565 (0.1244);0.6166 (0.1185);0.778 (0.0857);0.8576 (0.079)
131_B;1;5e-04 (0.0018);9e-04 (0.0023);0.0015 (0.0028);0.0016 (0.0029)
131_B;25;0.008 (0.0124);0.0165 (0.0252);0.0142 (0.0257);0.0722 (0.0938)
131_B;50;0.0118 (0.024);0.0182 (0.0342);0.0231 (0.0397);0.1498 (0.182)
131_B;75;0.0126 (0.0232);0.0198 (0.0427);0.0339 (0.0768);0.2029 (0.2165)
131_B;100;0.0131 (0.0255);0.0226 (0.0453);0.0397 (0.0869);0.2111 (0.2221)
131_B;125;0.0082 (0.0165);0.0255 (0.0462);0.0405 (0.0736);0.233 (0.2413)
131_B;150;0.0075 (0.0136);0.0296 (0.0515);0.0488 (0.1093);0.2434 (0.2478)
131_B;175;0.0097 (0.0135);0.0268 (0.0577);0.0506 (0.0971);0.2562 (0.2404)
131_B;200;0.0099 (0.0161);0.0272 (0.0715);0.0458 (0.0733);0.2738 (0.2645)
131_C1;1;0.0172 (0.01);0.0167 (0.0092);0.0155 (0.01);0.019 (0.008)
131_C1;25;0.143 (0.0428);0.196 (0.0837);0.2404 (0.0696);0.3825 (0.0935)
131_C1;50;0.1774 (0.0588);0.3043 (0.0985);0.4492 (0.1133);0.7175 (0.0801)
131_C1;75;0.2149 (0.0653);0.3581 (0.0917);0.5735 (0.1152);0.7993 (0.0572)
131_C1;100;0.2354 (0.0689);0.4183 (0.0988);0.6257 (0.0967);0.8101 (0.0638)
131_C1;125;0.2484 (0.074);0.4459 (0.0934);0.6355 (0.1019);0.7938 (0.0789)
131_C1;150;0.2405 (0.0654);0.45 (0.0851);0.6376 (0.0939);0.7989 (0.0713)
131_C1;175;0.2512 (0.0832);0.4483 (0.1026);0.6601 (0.0877);0.8071 (0.069)
131_C1;200;0.2452 (0.0875);0.454 (0.1026);0.6608 (0.0856);0.8181 (0.059)
131_C2;1;0.0642 (0.0104);0.0661 (0.0113);0.0658 (0.0114);0.0602 (0.0103)
131_C2;25;0.4897 (0.0642);0.5954 (0.0433);0.6764 (0.0489);0.7597 (0.0414)
131_C2;50;0.6008 (0.0484);0.7606 (0.0414);0.8747 (0.0219);0.9338 (0.0125)
131_C2;75;0.6586 (0.0494);0.8253 (0.033);0.9258 (0.0146);0.962 (0.0094)
131_C2;100;0.6921 (0.0468);0.8587 (0.0279);0.9387 (0.0143);0.9675 (0.0075)
131_C2;125;0.7103 (0.0479);0.8793 (0.0242);0.9429 (0.0106);0.9696 (0.0073)
131_C2;150;0.7257 (0.0418);0.882 (0.0206);0.9422 (0.0157);0.9713 (0.0056)
131_C2;175;0.739 (0.0381);0.8845 (0.0202);0.9417 (0.0136);0.9682 (0.0079)
131_C2;200;0.7414 (0.0452);0.8805 (0.0265);0.9448 (0.0136);0.9661 (0.0102)
