"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,1;"5e-04";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)"
"2";"131_A";25;0,01;0,1;"5e-04";"0.0064 (0.0014)";"0.0075 (0.0017)";"0.0074 (0.0011)";"0.0097 (0.0028)"
"3";"131_A";50;0,01;0,1;"5e-04";"0.0099 (0.0019)";"0.0128 (0.0032)";"0.015 (0.0035)";"0.0247 (0.009)"
"4";"131_A";75;0,01;0,1;"5e-04";"0.0128 (0.0028)";"0.018 (0.004)";"0.0223 (0.0062)";"0.0341 (0.014)"
"5";"131_A";100;0,01;0,1;"5e-04";"0.015 (0.0036)";"0.0217 (0.0037)";"0.0269 (0.0074)";"0.037 (0.0156)"
"6";"131_A";125;0,01;0,1;"5e-04";"0.0165 (0.004)";"0.0247 (0.0059)";"0.0297 (0.0091)";"0.0388 (0.0156)"
"7";"131_A";150;0,01;0,1;"5e-04";"0.0186 (0.0044)";"0.0257 (0.0063)";"0.0319 (0.0121)";"0.0396 (0.0172)"
"8";"131_A";175;0,01;0,1;"5e-04";"0.0189 (0.0046)";"0.0274 (0.0068)";"0.0344 (0.0115)";"0.0406 (0.0169)"
"9";"131_A";200;0,01;0,1;"5e-04";"0.0193 (0.0041)";"0.0276 (0.0071)";"0.0366 (0.0118)";"0.0418 (0.0169)"
"10";"131_B";1;0,01;0,1;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,1;"5e-04";"0.0075 (0.0015)";"0.0075 (0.0013)";"0.0077 (0.0015)";"0.0073 (0.0013)"
"12";"131_B";50;0,01;0,1;"5e-04";"0.011 (0.0023)";"0.0108 (0.0021)";"0.0098 (0.0019)";"0.0095 (0.0022)"
"13";"131_B";75;0,01;0,1;"5e-04";"0.0135 (0.0034)";"0.0132 (0.0027)";"0.0099 (0.0024)";"0.0097 (0.0032)"
"14";"131_B";100;0,01;0,1;"5e-04";"0.0164 (0.0032)";"0.0147 (0.0027)";"0.0105 (0.0022)";"0.0097 (0.0036)"
"15";"131_B";125;0,01;0,1;"5e-04";"0.0175 (0.0037)";"0.0166 (0.0033)";"0.0116 (0.0026)";"0.0103 (0.0047)"
"16";"131_B";150;0,01;0,1;"5e-04";"0.0195 (0.0044)";"0.0164 (0.0027)";"0.0116 (0.0022)";"0.011 (0.0047)"
"17";"131_B";175;0,01;0,1;"5e-04";"0.0205 (0.0035)";"0.0165 (0.0028)";"0.0113 (0.0024)";"0.0115 (0.0048)"
"18";"131_B";200;0,01;0,1;"5e-04";"0.0213 (0.0039)";"0.0175 (0.0032)";"0.0129 (0.0026)";"0.0118 (0.0056)"
"19";"131_C1";1;0,01;0,1;"5e-04";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)"
"20";"131_C1";25;0,01;0,1;"5e-04";"0.0102 (0.0017)";"0.0114 (0.0018)";"0.0111 (0.0016)";"0.0134 (0.0025)"
"21";"131_C1";50;0,01;0,1;"5e-04";"0.015 (0.0025)";"0.0175 (0.0039)";"0.0204 (0.0038)";"0.0282 (0.0056)"
"22";"131_C1";75;0,01;0,1;"5e-04";"0.0194 (0.0034)";"0.0237 (0.0052)";"0.028 (0.0054)";"0.0378 (0.0084)"
"23";"131_C1";100;0,01;0,1;"5e-04";"0.0217 (0.0039)";"0.0275 (0.0056)";"0.0324 (0.0063)";"0.0411 (0.0099)"
"24";"131_C1";125;0,01;0,1;"5e-04";"0.0251 (0.0042)";"0.0297 (0.0062)";"0.0342 (0.006)";"0.0422 (0.0111)"
"25";"131_C1";150;0,01;0,1;"5e-04";"0.0257 (0.0039)";"0.0325 (0.0076)";"0.0363 (0.0066)";"0.0432 (0.0133)"
"26";"131_C1";175;0,01;0,1;"5e-04";"0.0279 (0.0043)";"0.0332 (0.0078)";"0.0366 (0.0074)";"0.045 (0.0118)"
"27";"131_C1";200;0,01;0,1;"5e-04";"0.0288 (0.0047)";"0.0342 (0.0084)";"0.0368 (0.0075)";"0.046 (0.0133)"
"28";"131_C2";1;0,01;0,1;"5e-04";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)"
"29";"131_C2";25;0,01;0,1;"5e-04";"0.028 (0.0031)";"0.0331 (0.0028)";"0.0427 (0.0044)";"0.0533 (0.0062)"
"30";"131_C2";50;0,01;0,1;"5e-04";"0.0461 (0.0043)";"0.0663 (0.0054)";"0.1139 (0.0107)";"0.166 (0.0197)"
"31";"131_C2";75;0,01;0,1;"5e-04";"0.0611 (0.0066)";"0.1018 (0.0077)";"0.1808 (0.0172)";"0.2378 (0.0288)"
"32";"131_C2";100;0,01;0,1;"5e-04";"0.0693 (0.0077)";"0.1278 (0.0111)";"0.2153 (0.0237)";"0.2616 (0.0351)"
"33";"131_C2";125;0,01;0,1;"5e-04";"0.0783 (0.0074)";"0.145 (0.014)";"0.2297 (0.0255)";"0.2666 (0.0347)"
"34";"131_C2";150;0,01;0,1;"5e-04";"0.0852 (0.0086)";"0.1538 (0.0115)";"0.2377 (0.0271)";"0.2699 (0.0357)"
"35";"131_C2";175;0,01;0,1;"5e-04";"0.0877 (0.0081)";"0.1597 (0.0119)";"0.2379 (0.0266)";"0.2737 (0.0388)"
"36";"131_C2";200;0,01;0,1;"5e-04";"0.0909 (0.0091)";"0.1621 (0.0161)";"0.2387 (0.0255)";"0.2765 (0.0404)"
