"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,01;"5e-04";"0.0275 (0.0258)";"0.0286 (0.0253)";"0.0274 (0.0269)";"0.0277 (0.0271)"
"2";"131";25;0,01;0,01;"5e-04";"0.1483 (0.115)";"0.2032 (0.1514)";"0.2688 (0.1883)";"0.3479 (0.2371)"
"3";"131";50;0,01;0,01;"5e-04";"0.214 (0.1658)";"0.336 (0.2379)";"0.4711 (0.2979)";"0.6411 (0.3376)"
"4";"131";75;0,01;0,01;"5e-04";"0.2538 (0.1957)";"0.431 (0.291)";"0.6193 (0.3425)";"0.7632 (0.3261)"
"5";"131";100;0,01;0,01;"5e-04";"0.2779 (0.2202)";"0.506 (0.3179)";"0.6997 (0.3512)";"0.8005 (0.3058)"
"6";"131";125;0,01;0,01;"5e-04";"0.2861 (0.2316)";"0.5638 (0.3332)";"0.7342 (0.353)";"0.8021 (0.3108)"
"7";"131";150;0,01;0,01;"5e-04";"0.3079 (0.249)";"0.6043 (0.3393)";"0.7459 (0.3571)";"0.7998 (0.3117)"
"8";"131";175;0,01;0,01;"5e-04";"0.3239 (0.256)";"0.6361 (0.3527)";"0.7562 (0.3508)";"0.8033 (0.3112)"
"9";"131";200;0,01;0,01;"5e-04";"0.3356 (0.2666)";"0.6571 (0.3605)";"0.7597 (0.3514)";"0.7895 (0.3256)"
"10";"69";1;0,01;0,01;"5e-04";"0.0011 (0.0015)";"7e-04 (0.0015)";"9e-04 (0.0013)";"0.0012 (0.0014)"
"11";"69";25;0,01;0,01;"5e-04";"0.0062 (0.008)";"0.0118 (0.0113)";"0.0176 (0.0149)";"0.0304 (0.0223)"
"12";"69";50;0,01;0,01;"5e-04";"0.0074 (0.008)";"0.0181 (0.0226)";"0.0603 (0.0391)";"0.1278 (0.1041)"
"13";"69";75;0,01;0,01;"5e-04";"0.0104 (0.0089)";"0.0299 (0.0419)";"0.1402 (0.0998)";"0.2868 (0.2089)"
"14";"69";100;0,01;0,01;"5e-04";"0.0122 (0.0102)";"0.0411 (0.0557)";"0.2259 (0.1478)";"0.3465 (0.2397)"
"15";"69";125;0,01;0,01;"5e-04";"0.0122 (0.0103)";"0.0587 (0.0744)";"0.3019 (0.1788)";"0.3476 (0.2483)"
"16";"69";150;0,01;0,01;"5e-04";"0.0146 (0.0127)";"0.0768 (0.0968)";"0.3635 (0.2041)";"0.3512 (0.2426)"
"17";"69";175;0,01;0,01;"5e-04";"0.0181 (0.0168)";"0.095 (0.1161)";"0.3756 (0.2077)";"0.3421 (0.2548)"
"18";"69";200;0,01;0,01;"5e-04";"0.0166 (0.015)";"0.1092 (0.1176)";"0.3732 (0.2094)";"0.3352 (0.2611)"
"19";"73";1;0,01;0,01;"5e-04";"0.001 (4e-04)";"0.001 (4e-04)";"0.0011 (5e-04)";"9e-04 (5e-04)"
"20";"73";25;0,01;0,01;"5e-04";"0.0026 (0.0014)";"0.0058 (0.0036)";"0.0088 (0.006)";"0.0132 (0.0065)"
"21";"73";50;0,01;0,01;"5e-04";"0.0042 (0.0023)";"0.0134 (0.0084)";"0.0343 (0.0227)";"0.1012 (0.0503)"
"22";"73";75;0,01;0,01;"5e-04";"0.0065 (0.0039)";"0.0239 (0.0176)";"0.1018 (0.0673)";"0.3226 (0.1134)"
"23";"73";100;0,01;0,01;"5e-04";"0.0076 (0.0038)";"0.0389 (0.0282)";"0.2279 (0.1241)";"0.4746 (0.1511)"
"24";"73";125;0,01;0,01;"5e-04";"0.0107 (0.0055)";"0.0646 (0.0443)";"0.3197 (0.149)";"0.5005 (0.1448)"
"25";"73";150;0,01;0,01;"5e-04";"0.0126 (0.0069)";"0.0884 (0.0551)";"0.3813 (0.1522)";"0.5073 (0.1522)"
"26";"73";175;0,01;0,01;"5e-04";"0.0142 (0.0078)";"0.1116 (0.0722)";"0.4042 (0.1551)";"0.5072 (0.1551)"
"27";"73";200;0,01;0,01;"5e-04";"0.0159 (0.0114)";"0.1346 (0.0833)";"0.4112 (0.1556)";"0.5057 (0.1504)"
"28";"95";1;0,01;0,01;"5e-04";"0.0012 (6e-04)";"9e-04 (5e-04)";"0.001 (7e-04)";"7e-04 (5e-04)"
"29";"95";25;0,01;0,01;"5e-04";"0.0035 (0.0036)";"0.0034 (0.0029)";"0.0069 (0.0059)";"0.0138 (0.0111)"
"30";"95";50;0,01;0,01;"5e-04";"0.0047 (0.005)";"0.008 (0.0082)";"0.0322 (0.0317)";"0.1042 (0.0899)"
"31";"95";75;0,01;0,01;"5e-04";"0.0074 (0.0069)";"0.0162 (0.0149)";"0.0994 (0.0851)";"0.3026 (0.2021)"
"32";"95";100;0,01;0,01;"5e-04";"0.0087 (0.008)";"0.0319 (0.0314)";"0.2083 (0.1659)";"0.4192 (0.2437)"
"33";"95";125;0,01;0,01;"5e-04";"0.0125 (0.0158)";"0.0527 (0.051)";"0.2898 (0.2138)";"0.4558 (0.2542)"
"34";"95";150;0,01;0,01;"5e-04";"0.0163 (0.0182)";"0.0756 (0.0675)";"0.3326 (0.2275)";"0.4708 (0.2561)"
"35";"95";175;0,01;0,01;"5e-04";"0.0187 (0.0222)";"0.1015 (0.0814)";"0.3485 (0.2389)";"0.4827 (0.2555)"
"36";"95";200;0,01;0,01;"5e-04";"0.0195 (0.0221)";"0.127 (0.1024)";"0.3411 (0.2366)";"0.4807 (0.2677)"
