genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0244 (0.0134);0.0257 (0.0147);0.0215 (0.0116);0.025 (0.0129)
131_A;25;0.165 (0.071);0.2536 (0.0819);0.3298 (0.1076);0.4168 (0.0928)
131_A;50;0.2254 (0.0713);0.4091 (0.1096);0.6119 (0.1079);0.8059 (0.0744)
131_A;75;0.2795 (0.0734);0.5215 (0.1145);0.8037 (0.069);0.9311 (0.0278)
131_A;100;0.2975 (0.0824);0.6215 (0.1099);0.8951 (0.0419);0.9567 (0.0174)
131_A;125;0.303 (0.0854);0.7107 (0.0864);0.9227 (0.0257);0.9613 (0.0162)
131_A;150;0.3282 (0.086);0.767 (0.0757);0.937 (0.0239);0.9582 (0.02)
131_A;175;0.3411 (0.0925);0.8112 (0.0721);0.9502 (0.0184);0.9596 (0.0193)
131_A;200;0.3542 (0.1109);0.845 (0.0611);0.9507 (0.0178);0.9599 (0.0185)
131_B;1;0.0016 (0.0042);6e-04 (0.0019);8e-04 (0.0021);3e-04 (0.0015)
131_B;25;0.0053 (0.0072);0.0108 (0.025);0.0126 (0.0235);0.0166 (0.0234)
131_B;50;0.007 (0.0108);0.0152 (0.0241);0.025 (0.0289);0.0994 (0.1392)
131_B;75;0.006 (0.0079);0.0222 (0.032);0.0638 (0.0792);0.2422 (0.2307)
131_B;100;0.0107 (0.0201);0.0342 (0.0534);0.1259 (0.1673);0.3418 (0.2895)
131_B;125;0.0105 (0.0175);0.0484 (0.0872);0.1673 (0.2332);0.3291 (0.2863)
131_B;150;0.0087 (0.018);0.0675 (0.1025);0.1735 (0.2478);0.3227 (0.2784)
131_B;175;0.0097 (0.0146);0.0677 (0.1132);0.1946 (0.2468);0.3209 (0.2707)
131_B;200;0.0135 (0.0134);0.0697 (0.1307);0.1917 (0.2352);0.2793 (0.2661)
131_C1;1;0.0172 (0.0105);0.023 (0.0107);0.016 (0.0095);0.0174 (0.0092)
131_C1;25;0.1288 (0.0491);0.1685 (0.0786);0.2613 (0.1027);0.3214 (0.1075)
131_C1;50;0.1866 (0.0772);0.288 (0.0977);0.4616 (0.127);0.7196 (0.104)
131_C1;75;0.2192 (0.0895);0.3904 (0.1156);0.6838 (0.1116);0.8925 (0.0481)
131_C1;100;0.2224 (0.0832);0.5061 (0.1471);0.8063 (0.0863);0.9103 (0.0756)
131_C1;125;0.2231 (0.0768);0.5906 (0.1399);0.8649 (0.075);0.9236 (0.0518)
131_C1;150;0.2317 (0.0648);0.6535 (0.1314);0.8868 (0.0609);0.9234 (0.0629)
131_C1;175;0.2568 (0.078);0.7143 (0.1277);0.8926 (0.0598);0.9378 (0.0241)
131_C1;200;0.2581 (0.0701);0.7512 (0.1105);0.9075 (0.0475);0.9242 (0.0406)
131_C2;1;0.0651 (0.0109);0.065 (0.0086);0.0672 (0.0124);0.0682 (0.0116)
131_C2;25;0.294 (0.0547);0.38 (0.0772);0.4713 (0.0926);0.6368 (0.0635)
131_C2;50;0.4369 (0.0706);0.6317 (0.0693);0.786 (0.0787);0.9396 (0.0181)
131_C2;75;0.5105 (0.1003);0.7898 (0.0549);0.926 (0.0359);0.9872 (0.0054)
131_C2;100;0.5811 (0.1111);0.8621 (0.0463);0.9714 (0.0155);0.9932 (0.0034)
131_C2;125;0.6077 (0.1285);0.9053 (0.0382);0.9818 (0.01);0.9944 (0.002)
131_C2;150;0.6632 (0.1131);0.9292 (0.0269);0.9863 (0.0072);0.9948 (0.0033)
131_C2;175;0.6882 (0.0978);0.9511 (0.0164);0.9875 (0.0086);0.9949 (0.0021)
131_C2;200;0.7165 (0.1004);0.9625 (0.0087);0.989 (0.0055);0.9948 (0.0024)
