genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0027 (0);0.0027 (0);0.0027 (0);0.0027 (0)
131_A;25;0.0072 (0.0018);0.0077 (0.0014);0.0085 (0.0016);0.0109 (0.0021)
131_A;50;0.0109 (0.0029);0.014 (0.0029);0.0196 (0.0044);0.0312 (0.0083)
131_A;75;0.015 (0.0036);0.0203 (0.0049);0.033 (0.0102);0.0494 (0.0125)
131_A;100;0.0172 (0.0036);0.0269 (0.0062);0.0442 (0.0153);0.0574 (0.0143)
131_A;125;0.0195 (0.0035);0.0317 (0.0071);0.0503 (0.0182);0.0625 (0.0164)
131_A;150;0.0217 (0.0042);0.0353 (0.0069);0.0538 (0.0214);0.0648 (0.0158)
131_A;175;0.0229 (0.005);0.0395 (0.0083);0.0563 (0.0202);0.0652 (0.0161)
131_A;200;0.024 (0.0062);0.0431 (0.0102);0.0597 (0.0218);0.0666 (0.0169)
131_B;1;0.0031 (0);0.0031 (0);0.0031 (0);0.0031 (0)
131_B;25;0.0079 (0.0016);0.0085 (0.002);0.0083 (0.0015);0.0076 (0.0021)
131_B;50;0.0118 (0.0021);0.0129 (0.0017);0.0113 (0.0025);0.0089 (0.0023)
131_B;75;0.015 (0.0027);0.0157 (0.0018);0.0118 (0.0027);0.0072 (0.0017)
131_B;100;0.0174 (0.0028);0.0174 (0.0023);0.012 (0.0036);0.0066 (0.0014)
131_B;125;0.0197 (0.0041);0.0179 (0.0036);0.0122 (0.0042);0.0065 (0.0017)
131_B;150;0.0213 (0.0048);0.0174 (0.0033);0.0121 (0.0035);0.0063 (0.002)
131_B;175;0.0221 (0.0049);0.0169 (0.0037);0.0114 (0.0038);0.0066 (0.0023)
131_B;200;0.0223 (0.0038);0.0173 (0.0036);0.0119 (0.0045);0.0058 (0.0018)
131_C1;1;0.0041 (0);0.0041 (0);0.0041 (0);0.0041 (0)
131_C1;25;0.0102 (0.002);0.0099 (0.0017);0.0109 (0.0016);0.0122 (0.0028)
131_C1;50;0.0149 (0.003);0.0155 (0.0025);0.0194 (0.0048);0.0324 (0.0087)
131_C1;75;0.0184 (0.0035);0.0215 (0.0034);0.0307 (0.0072);0.048 (0.0148)
131_C1;100;0.0216 (0.0041);0.0272 (0.0052);0.0387 (0.011);0.0524 (0.0155)
131_C1;125;0.0253 (0.0043);0.0326 (0.0062);0.0433 (0.0146);0.0552 (0.0143)
131_C1;150;0.0265 (0.0034);0.0352 (0.0072);0.0453 (0.0168);0.0558 (0.0147)
131_C1;175;0.0278 (0.0048);0.0384 (0.0084);0.0461 (0.0154);0.0546 (0.0135)
131_C1;200;0.0283 (0.0047);0.0396 (0.0111);0.0458 (0.0162);0.0555 (0.0155)
131_C2;1;0.0106 (0);0.0106 (0);0.0106 (0);0.0106 (0)
131_C2;25;0.0131 (0.0017);0.0152 (0.0022);0.0184 (0.0028);0.0235 (0.0031)
131_C2;50;0.0153 (0.0026);0.022 (0.0043);0.0406 (0.0093);0.0756 (0.0132)
131_C2;75;0.0181 (0.0036);0.0318 (0.0069);0.0737 (0.0137);0.1252 (0.0252)
131_C2;100;0.0195 (0.0034);0.0439 (0.0104);0.101 (0.0211);0.1434 (0.0287)
131_C2;125;0.0214 (0.0048);0.0552 (0.0132);0.1177 (0.0236);0.1434 (0.0285)
131_C2;150;0.023 (0.0046);0.0645 (0.0135);0.1241 (0.0271);0.1409 (0.0276)
131_C2;175;0.0245 (0.0047);0.0701 (0.0149);0.1256 (0.0262);0.1423 (0.028)
131_C2;200;0.0258 (0.0055);0.0724 (0.0151);0.1252 (0.0271);0.1421 (0.0282)
