"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,1;"5e-04";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)";"0.0027 (0)"
"2";"131_A";25;0,01;0,1;"5e-04";"0.0076 (0.0013)";"0.0079 (0.0016)";"0.0091 (0.0017)";"0.0103 (0.002)"
"3";"131_A";50;0,01;0,1;"5e-04";"0.0113 (0.0021)";"0.0142 (0.0036)";"0.0185 (0.0043)";"0.028 (0.0096)"
"4";"131_A";75;0,01;0,1;"5e-04";"0.0145 (0.0025)";"0.0198 (0.005)";"0.0279 (0.0071)";"0.044 (0.0153)"
"5";"131_A";100;0,01;0,1;"5e-04";"0.018 (0.0042)";"0.0238 (0.0056)";"0.0358 (0.0104)";"0.0506 (0.0172)"
"6";"131_A";125;0,01;0,1;"5e-04";"0.02 (0.0045)";"0.0291 (0.0065)";"0.0415 (0.0127)";"0.054 (0.0184)"
"7";"131_A";150;0,01;0,1;"5e-04";"0.0205 (0.006)";"0.0335 (0.0082)";"0.0444 (0.013)";"0.0564 (0.0182)"
"8";"131_A";175;0,01;0,1;"5e-04";"0.0229 (0.0059)";"0.037 (0.008)";"0.0456 (0.0137)";"0.0584 (0.0187)"
"9";"131_A";200;0,01;0,1;"5e-04";"0.0237 (0.0061)";"0.0376 (0.0078)";"0.0478 (0.014)";"0.0594 (0.0202)"
"10";"131_B";1;0,01;0,1;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,1;"5e-04";"0.0082 (0.0017)";"0.0082 (0.0012)";"0.0082 (0.0016)";"0.0083 (0.0017)"
"12";"131_B";50;0,01;0,1;"5e-04";"0.0127 (0.0018)";"0.0119 (0.002)";"0.0119 (0.002)";"0.01 (0.003)"
"13";"131_B";75;0,01;0,1;"5e-04";"0.0155 (0.0026)";"0.0149 (0.0021)";"0.0129 (0.0023)";"0.0107 (0.0037)"
"14";"131_B";100;0,01;0,1;"5e-04";"0.0173 (0.0031)";"0.017 (0.0023)";"0.0137 (0.0029)";"0.0106 (0.0041)"
"15";"131_B";125;0,01;0,1;"5e-04";"0.0193 (0.0033)";"0.018 (0.0035)";"0.0137 (0.0034)";"0.0115 (0.0051)"
"16";"131_B";150;0,01;0,1;"5e-04";"0.0218 (0.0027)";"0.0182 (0.003)";"0.0141 (0.0036)";"0.0117 (0.0053)"
"17";"131_B";175;0,01;0,1;"5e-04";"0.0237 (0.0043)";"0.0185 (0.0033)";"0.0147 (0.0035)";"0.0119 (0.0052)"
"18";"131_B";200;0,01;0,1;"5e-04";"0.0248 (0.0042)";"0.0196 (0.0038)";"0.0143 (0.0022)";"0.0113 (0.0049)"
"19";"131_C1";1;0,01;0,1;"5e-04";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)";"0.0041 (0)"
"20";"131_C1";25;0,01;0,1;"5e-04";"0.0098 (0.0017)";"0.0094 (0.0015)";"0.0108 (0.0023)";"0.0127 (0.0022)"
"21";"131_C1";50;0,01;0,1;"5e-04";"0.015 (0.0029)";"0.0161 (0.0029)";"0.0215 (0.0062)";"0.0271 (0.0078)"
"22";"131_C1";75;0,01;0,1;"5e-04";"0.019 (0.0039)";"0.0233 (0.005)";"0.0341 (0.0104)";"0.0384 (0.0123)"
"23";"131_C1";100;0,01;0,1;"5e-04";"0.0226 (0.0047)";"0.028 (0.007)";"0.0423 (0.0127)";"0.0427 (0.0139)"
"24";"131_C1";125;0,01;0,1;"5e-04";"0.0237 (0.0038)";"0.0321 (0.0077)";"0.0439 (0.0129)";"0.0438 (0.0147)"
"25";"131_C1";150;0,01;0,1;"5e-04";"0.0246 (0.003)";"0.0346 (0.0094)";"0.0449 (0.0128)";"0.0444 (0.0142)"
"26";"131_C1";175;0,01;0,1;"5e-04";"0.0266 (0.0042)";"0.0355 (0.0095)";"0.0451 (0.0114)";"0.0441 (0.0139)"
"27";"131_C1";200;0,01;0,1;"5e-04";"0.0272 (0.0039)";"0.0376 (0.0101)";"0.0466 (0.0106)";"0.0451 (0.0143)"
"28";"131_C2";1;0,01;0,1;"5e-04";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)";"0.0106 (0)"
"29";"131_C2";25;0,01;0,1;"5e-04";"0.0132 (0.0023)";"0.0158 (0.0021)";"0.0173 (0.0036)";"0.0245 (0.004)"
"30";"131_C2";50;0,01;0,1;"5e-04";"0.0156 (0.0025)";"0.0241 (0.004)";"0.0385 (0.0081)";"0.0692 (0.0144)"
"31";"131_C2";75;0,01;0,1;"5e-04";"0.0182 (0.0033)";"0.0336 (0.0064)";"0.0642 (0.013)";"0.1045 (0.026)"
"32";"131_C2";100;0,01;0,1;"5e-04";"0.021 (0.0041)";"0.042 (0.008)";"0.0803 (0.0172)";"0.1167 (0.0307)"
"33";"131_C2";125;0,01;0,1;"5e-04";"0.0226 (0.0045)";"0.0507 (0.0098)";"0.092 (0.0184)";"0.1203 (0.0334)"
"34";"131_C2";150;0,01;0,1;"5e-04";"0.0223 (0.0051)";"0.0533 (0.0104)";"0.0952 (0.0204)";"0.1213 (0.0356)"
"35";"131_C2";175;0,01;0,1;"5e-04";"0.0239 (0.0048)";"0.0558 (0.0106)";"0.0987 (0.0216)";"0.1221 (0.036)"
"36";"131_C2";200;0,01;0,1;"5e-04";"0.0238 (0.0053)";"0.0572 (0.0106)";"0.0985 (0.0244)";"0.1237 (0.0375)"
