genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0052 (0.0032);0.0051 (0.0032);0.0054 (0.0032);0.0052 (0.0032)
131;25;0.0099 (0.0029);0.0102 (0.003);0.0115 (0.0045);0.0137 (0.0068)
131;50;0.0138 (0.0026);0.0159 (0.0042);0.023 (0.0125);0.0385 (0.0305)
131;75;0.0168 (0.0031);0.0227 (0.0072);0.042 (0.0297);0.0616 (0.0542)
131;100;0.0194 (0.004);0.0304 (0.0124);0.0587 (0.0476);0.0675 (0.061)
131;125;0.0216 (0.0044);0.0385 (0.0189);0.0667 (0.0564);0.0689 (0.061)
131;150;0.0235 (0.0049);0.0465 (0.0266);0.0697 (0.0592);0.0692 (0.062)
131;175;0.0249 (0.0047);0.0536 (0.0325);0.0723 (0.0608);0.0696 (0.0615)
131;200;0.026 (0.0048);0.0579 (0.0373);0.0731 (0.0613);0.0707 (0.0626)
69;1;0.0126 (0);0.0126 (0);0.0126 (0);0.0126 (0)
69;25;0.032 (0.0037);0.032 (0.0027);0.0325 (0.0026);0.0312 (0.0037)
69;50;0.048 (0.005);0.0482 (0.005);0.0456 (0.0052);0.0356 (0.0049)
69;75;0.0611 (0.0068);0.059 (0.0065);0.0463 (0.0075);0.0286 (0.0095)
69;100;0.0698 (0.0071);0.0645 (0.0087);0.0406 (0.0105);0.0239 (0.0116)
69;125;0.0763 (0.0063);0.0671 (0.0097);0.0363 (0.0109);0.0239 (0.0135)
69;150;0.0817 (0.0072);0.0659 (0.0098);0.0359 (0.0128);0.0233 (0.0139)
69;175;0.088 (0.0059);0.063 (0.0113);0.0351 (0.0127);0.023 (0.013)
69;200;0.0909 (0.0071);0.0594 (0.0116);0.0345 (0.0121);0.0219 (0.0124)
73;1;0.2622 (0);0.2622 (0);0.2622 (0);0.2622 (0)
73;25;0.2492 (0.0092);0.2488 (0.0104);0.2438 (0.0116);0.2335 (0.0095)
73;50;0.2383 (0.0103);0.2346 (0.0127);0.2104 (0.0141);0.1558 (0.0133)
73;75;0.2321 (0.0107);0.2182 (0.0123);0.1587 (0.0122);0.0814 (0.0183)
73;100;0.2286 (0.0111);0.1985 (0.0134);0.1093 (0.0176);0.0629 (0.0231)
73;125;0.225 (0.0121);0.1783 (0.0162);0.0848 (0.0181);0.0599 (0.0246)
73;150;0.2205 (0.0112);0.1579 (0.0152);0.0767 (0.0184);0.0592 (0.0257)
73;175;0.2194 (0.0158);0.1424 (0.0149);0.0752 (0.02);0.0591 (0.0255)
73;200;0.2161 (0.0149);0.1309 (0.0153);0.0742 (0.0214);0.0585 (0.0246)
95;1;0.1124 (0);0.1124 (0);0.1124 (0);0.1124 (0)
95;25;0.106 (0.0053);0.1063 (0.0068);0.1055 (0.0053);0.1 (0.0056)
95;50;0.1049 (0.0077);0.0994 (0.0065);0.0916 (0.0059);0.0681 (0.0072)
95;75;0.1 (0.0087);0.0919 (0.0062);0.0679 (0.0091);0.0365 (0.0138)
95;100;0.0979 (0.0065);0.084 (0.0088);0.047 (0.012);0.0292 (0.0167)
95;125;0.0961 (0.0091);0.0758 (0.0083);0.037 (0.0132);0.0267 (0.0166)
95;150;0.0947 (0.0095);0.0682 (0.0073);0.0338 (0.0142);0.0276 (0.015)
95;175;0.0913 (0.0077);0.0625 (0.0062);0.0316 (0.0141);0.0276 (0.0151)
95;200;0.0893 (0.009);0.0572 (0.0085);0.0313 (0.0135);0.0282 (0.0164)
