genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0052 (0.0032);0.0052 (0.0032);0.0052 (0.0032);0.0053 (0.0032)
131;25;0.013 (0.0085);0.014 (0.0102);0.0166 (0.0139);0.0215 (0.0208)
131;50;0.0196 (0.0134);0.0249 (0.0207);0.04 (0.0436);0.0681 (0.0871)
131;75;0.025 (0.0179);0.0382 (0.0358);0.0739 (0.0911);0.1045 (0.1407)
131;100;0.0294 (0.0211);0.0527 (0.0538);0.0989 (0.1278);0.114 (0.1549)
131;125;0.0334 (0.0242);0.0666 (0.0722);0.1091 (0.1427);0.1168 (0.1578)
131;150;0.036 (0.0264);0.0786 (0.0881);0.1136 (0.1488);0.1172 (0.158)
131;175;0.0388 (0.0289);0.0874 (0.1007);0.1155 (0.1513);0.117 (0.1565)
131;200;0.0409 (0.0314);0.0935 (0.109);0.1164 (0.1515);0.118 (0.1579)
69;1;0.0126 (0);0.0126 (0);0.0126 (0);0.0126 (0)
69;25;0.0315 (0.0024);0.031 (0.0035);0.0306 (0.003);0.0305 (0.0039)
69;50;0.0464 (0.0043);0.0457 (0.0041);0.0407 (0.0045);0.0309 (0.0048)
69;75;0.0578 (0.0053);0.0533 (0.005);0.0379 (0.0056);0.0208 (0.0067)
69;100;0.0666 (0.0065);0.0575 (0.0062);0.0316 (0.0064);0.018 (0.0079)
69;125;0.0735 (0.007);0.0581 (0.0061);0.0276 (0.0071);0.018 (0.0083)
69;150;0.0782 (0.008);0.0555 (0.007);0.0263 (0.0072);0.0188 (0.0096)
69;175;0.0822 (0.0085);0.0516 (0.0076);0.0248 (0.0071);0.0189 (0.0099)
69;200;0.0857 (0.0096);0.0494 (0.0076);0.0245 (0.0059);0.0184 (0.0101)
73;1;0.2622 (0);0.2622 (0);0.2622 (0);0.2622 (0)
73;25;0.2458 (0.0081);0.2464 (0.0078);0.2408 (0.0075);0.2301 (0.0073)
73;50;0.2351 (0.0096);0.227 (0.0105);0.1931 (0.0084);0.1365 (0.0125)
73;75;0.2234 (0.0106);0.2026 (0.0133);0.1311 (0.0096);0.066 (0.0167)
73;100;0.2151 (0.011);0.1781 (0.0102);0.0863 (0.01);0.0508 (0.0186)
73;125;0.2094 (0.0113);0.1534 (0.0102);0.0687 (0.0105);0.0489 (0.0179)
73;150;0.2043 (0.0115);0.1345 (0.0111);0.0621 (0.0118);0.0496 (0.0187)
73;175;0.2008 (0.0101);0.1201 (0.0105);0.0602 (0.0108);0.0489 (0.0179)
73;200;0.1975 (0.0105);0.1088 (0.0102);0.0593 (0.0103);0.0501 (0.0179)
95;1;0.1124 (0);0.1124 (0);0.1124 (0);0.1124 (0)
95;25;0.107 (0.0062);0.1061 (0.0057);0.1033 (0.007);0.0979 (0.0059)
95;50;0.1038 (0.0069);0.0985 (0.0062);0.0856 (0.0077);0.0567 (0.0062)
95;75;0.0993 (0.0073);0.0902 (0.0076);0.0604 (0.0092);0.0269 (0.0079)
95;100;0.097 (0.0088);0.0784 (0.0087);0.0403 (0.0114);0.0203 (0.009)
95;125;0.0935 (0.0091);0.0693 (0.0095);0.032 (0.0126);0.0187 (0.0097)
95;150;0.0914 (0.0079);0.0601 (0.0077);0.0288 (0.0136);0.019 (0.0095)
95;175;0.0886 (0.0085);0.0516 (0.0066);0.0268 (0.0125);0.0195 (0.0113)
95;200;0.0856 (0.0088);0.0466 (0.0067);0.0263 (0.013);0.0195 (0.0119)
