genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.027 (0.0116);0.0249 (0.0113);0.0261 (0.0136);0.029 (0.015)
131_A;25;0.1967 (0.0783);0.2461 (0.0724);0.3504 (0.1302);0.4626 (0.1031)
131_A;50;0.2525 (0.1108);0.362 (0.0893);0.6055 (0.1229);0.8201 (0.0585)
131_A;75;0.2818 (0.0923);0.4646 (0.1018);0.7853 (0.0724);0.9141 (0.0338)
131_A;100;0.306 (0.0677);0.5547 (0.1236);0.8608 (0.0445);0.9359 (0.0319)
131_A;125;0.3204 (0.0722);0.6154 (0.1168);0.8856 (0.0489);0.9483 (0.0234)
131_A;150;0.3259 (0.0835);0.6732 (0.1012);0.9005 (0.0371);0.9508 (0.0281)
131_A;175;0.3182 (0.0798);0.7008 (0.1027);0.9044 (0.0438);0.9471 (0.0308)
131_A;200;0.3276 (0.1047);0.7251 (0.089);0.9034 (0.0373);0.9494 (0.0291)
131_B;1;0.0014 (0.0035);8e-04 (0.0028);0.0013 (0.0026);0 (0)
131_B;25;0.004 (0.0082);0.0096 (0.0214);0.0215 (0.0332);0.0375 (0.0642)
131_B;50;0.0057 (0.0102);0.0179 (0.0483);0.0484 (0.0631);0.1357 (0.1703)
131_B;75;0.0048 (0.0057);0.0266 (0.0618);0.1115 (0.143);0.215 (0.2366)
131_B;100;0.0099 (0.0139);0.0362 (0.0775);0.1574 (0.1894);0.2327 (0.2584)
131_B;125;0.011 (0.015);0.0477 (0.0993);0.1918 (0.2084);0.2531 (0.2739)
131_B;150;0.0073 (0.0134);0.0554 (0.1127);0.2304 (0.2232);0.2558 (0.3057)
131_B;175;0.0095 (0.0158);0.0554 (0.12);0.2204 (0.2272);0.2536 (0.2979)
131_B;200;0.0101 (0.0124);0.055 (0.1195);0.2044 (0.2093);0.2746 (0.2794)
131_C1;1;0.0455 (0.0147);0.0381 (0.0147);0.0451 (0.0183);0.0386 (0.015)
131_C1;25;0.2831 (0.0746);0.3958 (0.0807);0.4878 (0.0808);0.613 (0.0827)
131_C1;50;0.3766 (0.1001);0.5649 (0.0995);0.7516 (0.0543);0.8947 (0.0295)
131_C1;75;0.4229 (0.0731);0.6838 (0.0948);0.8732 (0.0347);0.9559 (0.015)
131_C1;100;0.4363 (0.0942);0.7443 (0.0917);0.9201 (0.0211);0.9702 (0.0101)
131_C1;125;0.4331 (0.0757);0.7824 (0.065);0.9342 (0.027);0.9702 (0.0116)
131_C1;150;0.4647 (0.0802);0.8111 (0.0548);0.9391 (0.028);0.9706 (0.0123)
131_C1;175;0.4861 (0.0941);0.8234 (0.0542);0.9491 (0.0211);0.9736 (0.0079)
131_C1;200;0.4978 (0.0896);0.8267 (0.0456);0.9524 (0.0173);0.9718 (0.0079)
131_C2;1;0.0473 (0.0198);0.0512 (0.0242);0.0541 (0.0175);0.0609 (0.0244)
131_C2;25;0.4472 (0.1079);0.4996 (0.1268);0.6353 (0.0855);0.6929 (0.1051)
131_C2;50;0.5621 (0.0962);0.6797 (0.132);0.8541 (0.0498);0.918 (0.0434)
131_C2;75;0.6006 (0.1119);0.7857 (0.0938);0.9286 (0.0285);0.9677 (0.0133)
131_C2;100;0.6138 (0.1024);0.8335 (0.0753);0.9599 (0.0182);0.982 (0.0088)
131_C2;125;0.6203 (0.127);0.8626 (0.0587);0.9691 (0.0132);0.9819 (0.0083)
131_C2;150;0.6428 (0.1242);0.8871 (0.0591);0.9705 (0.0125);0.9845 (0.0074)
131_C2;175;0.6978 (0.0988);0.8982 (0.0459);0.9712 (0.0137);0.9813 (0.0101)
131_C2;200;0.7003 (0.0847);0.9111 (0.0355);0.9744 (0.014);0.9837 (0.0074)
