"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,01;"5e-04";"0.003 (5e-04)";"0.003 (5e-04)";"0.0029 (4e-04)";"0.0029 (4e-04)"
"2";"131";25;0,01;0,01;"5e-04";"0.0075 (0.0019)";"0.0084 (0.0019)";"0.0094 (0.0022)";"0.0112 (0.0037)"
"3";"131";50;0,01;0,01;"5e-04";"0.0114 (0.0029)";"0.0146 (0.0041)";"0.022 (0.0091)";"0.0388 (0.0229)"
"4";"131";75;0,01;0,01;"5e-04";"0.015 (0.0036)";"0.0215 (0.0069)";"0.0449 (0.0254)";"0.0701 (0.0483)"
"5";"131";100;0,01;0,01;"5e-04";"0.0176 (0.0044)";"0.0305 (0.0124)";"0.0671 (0.0427)";"0.08 (0.0563)"
"6";"131";125;0,01;0,01;"5e-04";"0.0203 (0.0048)";"0.039 (0.0179)";"0.0789 (0.0513)";"0.0813 (0.0574)"
"7";"131";150;0,01;0,01;"5e-04";"0.0219 (0.0048)";"0.0485 (0.0247)";"0.0839 (0.0548)";"0.0818 (0.0574)"
"8";"131";175;0,01;0,01;"5e-04";"0.0236 (0.0057)";"0.0573 (0.0316)";"0.0865 (0.0575)";"0.0828 (0.0576)"
"9";"131";200;0,01;0,01;"5e-04";"0.0249 (0.0059)";"0.0639 (0.0363)";"0.0879 (0.0589)";"0.0829 (0.0575)"
"10";"69";1;0,01;0,01;"5e-04";"0.0131 (0)";"0.0131 (0)";"0.0131 (0)";"0.0131 (0)"
"11";"69";25;0,01;0,01;"5e-04";"0.0332 (0.0032)";"0.0337 (0.0033)";"0.0328 (0.0035)";"0.0327 (0.0034)"
"12";"69";50;0,01;0,01;"5e-04";"0.0501 (0.0046)";"0.0503 (0.005)";"0.0479 (0.0051)";"0.0409 (0.0083)"
"13";"69";75;0,01;0,01;"5e-04";"0.0639 (0.007)";"0.0615 (0.006)";"0.0489 (0.0066)";"0.0336 (0.0135)"
"14";"69";100;0,01;0,01;"5e-04";"0.073 (0.009)";"0.0684 (0.0066)";"0.0444 (0.009)";"0.0303 (0.016)"
"15";"69";125;0,01;0,01;"5e-04";"0.0816 (0.0084)";"0.0729 (0.0076)";"0.0389 (0.0126)";"0.0296 (0.015)"
"16";"69";150;0,01;0,01;"5e-04";"0.0881 (0.0085)";"0.0713 (0.0083)";"0.0367 (0.0143)";"0.0298 (0.0156)"
"17";"69";175;0,01;0,01;"5e-04";"0.0928 (0.0068)";"0.0669 (0.0086)";"0.0332 (0.0141)";"0.0298 (0.0151)"
"18";"69";200;0,01;0,01;"5e-04";"0.0968 (0.0084)";"0.0642 (0.0087)";"0.0339 (0.0143)";"0.0302 (0.0163)"
"19";"73";1;0,01;0,01;"5e-04";"0.1654 (0)";"0.1654 (0)";"0.1654 (0)";"0.1654 (0)"
"20";"73";25;0,01;0,01;"5e-04";"0.1579 (0.0079)";"0.1576 (0.0065)";"0.1567 (0.0081)";"0.1533 (0.0075)"
"21";"73";50;0,01;0,01;"5e-04";"0.1539 (0.0079)";"0.1487 (0.0086)";"0.1369 (0.0095)";"0.1122 (0.0101)"
"22";"73";75;0,01;0,01;"5e-04";"0.1514 (0.0085)";"0.1389 (0.0083)";"0.1044 (0.0102)";"0.0661 (0.0203)"
"23";"73";100;0,01;0,01;"5e-04";"0.1485 (0.0096)";"0.126 (0.0107)";"0.0737 (0.0107)";"0.052 (0.0242)"
"24";"73";125;0,01;0,01;"5e-04";"0.1407 (0.0109)";"0.1154 (0.0117)";"0.057 (0.0151)";"0.0488 (0.0235)"
"25";"73";150;0,01;0,01;"5e-04";"0.1409 (0.0122)";"0.1052 (0.01)";"0.0514 (0.0174)";"0.0485 (0.0227)"
"26";"73";175;0,01;0,01;"5e-04";"0.1383 (0.0142)";"0.0964 (0.0111)";"0.0479 (0.0168)";"0.0472 (0.0226)"
"27";"73";200;0,01;0,01;"5e-04";"0.1353 (0.012)";"0.0873 (0.0136)";"0.0461 (0.0174)";"0.0456 (0.0211)"
"28";"95";1;0,01;0,01;"5e-04";"0.1068 (0)";"0.1068 (0)";"0.1068 (0)";"0.1068 (0)"
"29";"95";25;0,01;0,01;"5e-04";"0.103 (0.0075)";"0.1014 (0.0059)";"0.1008 (0.0052)";"0.0968 (0.0074)"
"30";"95";50;0,01;0,01;"5e-04";"0.1016 (0.0099)";"0.0958 (0.007)";"0.087 (0.0068)";"0.0675 (0.0074)"
"31";"95";75;0,01;0,01;"5e-04";"0.0974 (0.0092)";"0.0887 (0.0085)";"0.0679 (0.011)";"0.0351 (0.0112)"
"32";"95";100;0,01;0,01;"5e-04";"0.0944 (0.0091)";"0.0797 (0.0077)";"0.0486 (0.0136)";"0.0255 (0.0122)"
"33";"95";125;0,01;0,01;"5e-04";"0.0942 (0.0081)";"0.0725 (0.0067)";"0.0365 (0.0172)";"0.025 (0.0138)"
"34";"95";150;0,01;0,01;"5e-04";"0.0918 (0.0069)";"0.0658 (0.0062)";"0.0322 (0.0167)";"0.0245 (0.0144)"
"35";"95";175;0,01;0,01;"5e-04";"0.0908 (0.0086)";"0.0579 (0.0065)";"0.0321 (0.0187)";"0.0248 (0.015)"
"36";"95";200;0,01;0,01;"5e-04";"0.0887 (0.011)";"0.0545 (0.0076)";"0.032 (0.0196)";"0.0249 (0.0153)"
