genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0029 (4e-04);0.0029 (4e-04);0.0029 (4e-04);0.0029 (4e-04)
131;25;0.0076 (0.0018);0.0081 (0.0018);0.0097 (0.0027);0.0118 (0.0036)
131;50;0.0115 (0.0025);0.0142 (0.0035);0.0228 (0.0095);0.036 (0.0208)
131;75;0.0147 (0.0029);0.0213 (0.0067);0.0428 (0.0229);0.0618 (0.0383)
131;100;0.0181 (0.0039);0.0291 (0.0112);0.0593 (0.0347);0.0718 (0.0459)
131;125;0.0202 (0.0042);0.0364 (0.0156);0.0686 (0.0422);0.0752 (0.0482)
131;150;0.0222 (0.0052);0.0414 (0.0187);0.0735 (0.046);0.0761 (0.0488)
131;175;0.0233 (0.0058);0.0459 (0.0218);0.0761 (0.0482);0.0756 (0.048)
131;200;0.0245 (0.0061);0.0493 (0.024);0.078 (0.0496);0.0771 (0.0495)
69;1;0.0131 (0);0.0131 (0);0.0131 (0);0.0131 (0)
69;25;0.0329 (0.0039);0.0337 (0.0034);0.0332 (0.0033);0.0328 (0.0028)
69;50;0.0516 (0.0045);0.0518 (0.0054);0.0491 (0.0042);0.0409 (0.0058)
69;75;0.0658 (0.005);0.0615 (0.006);0.0554 (0.0089);0.0355 (0.0092)
69;100;0.0755 (0.008);0.0675 (0.0066);0.0539 (0.012);0.0297 (0.0093)
69;125;0.0818 (0.0082);0.0712 (0.0073);0.0526 (0.0174);0.0297 (0.0094)
69;150;0.0887 (0.008);0.075 (0.0073);0.0509 (0.0157);0.0306 (0.0102)
69;175;0.0906 (0.0081);0.0751 (0.0063);0.0516 (0.0141);0.0304 (0.0108)
69;200;0.0943 (0.0088);0.0756 (0.0066);0.0526 (0.0155);0.0302 (0.0111)
73;1;0.1654 (0);0.1654 (0);0.1654 (0);0.1654 (0)
73;25;0.1609 (0.0076);0.1559 (0.0051);0.1564 (0.0083);0.1525 (0.0099)
73;50;0.1551 (0.009);0.1445 (0.0074);0.1402 (0.0076);0.1114 (0.0123)
73;75;0.1474 (0.0078);0.1372 (0.0083);0.1138 (0.0111);0.0703 (0.0162)
73;100;0.1424 (0.0077);0.1285 (0.0098);0.0903 (0.0137);0.0536 (0.017)
73;125;0.14 (0.0097);0.1223 (0.0113);0.079 (0.0161);0.0508 (0.0186)
73;150;0.137 (0.011);0.115 (0.0113);0.0743 (0.0166);0.0502 (0.0163)
73;175;0.1362 (0.0126);0.1101 (0.0116);0.0696 (0.0162);0.0494 (0.0181)
73;200;0.1368 (0.0126);0.1077 (0.0125);0.0668 (0.0173);0.0484 (0.0185)
95;1;0.1068 (0);0.1068 (0);0.1068 (0);0.1068 (0)
95;25;0.1005 (0.0074);0.1019 (0.0061);0.0993 (0.0069);0.098 (0.0063)
95;50;0.0989 (0.007);0.0951 (0.0075);0.0877 (0.0078);0.0729 (0.0101)
95;75;0.0974 (0.0057);0.0899 (0.0065);0.072 (0.0093);0.0455 (0.0112)
95;100;0.0931 (0.0073);0.0838 (0.0076);0.0574 (0.0101);0.0348 (0.0109)
95;125;0.0935 (0.0071);0.0769 (0.0089);0.0507 (0.011);0.0303 (0.0108)
95;150;0.0913 (0.0063);0.0726 (0.008);0.0467 (0.0133);0.0299 (0.0106)
95;175;0.0904 (0.0086);0.0696 (0.0104);0.0461 (0.013);0.0299 (0.0122)
95;200;0.0887 (0.0072);0.0673 (0.0087);0.0449 (0.015);0.0305 (0.0115)
